"source_attack_id","relationship_type","target_attack_id"
"S1066","uses","T1027"
"G0119","uses","T1587.001"
"S0678","uses","T1680"
"T1042","revoked-by","T1546.001"
"M1047","mitigates","T1505.005"
"G1003","uses","S0598"
"S0610","uses","T1132.001"
"M1018","mitigates","T1578"
"S0330","uses","T1059.001"
"S0377","uses","T1556.003"
"G0068","uses","S0201"
"G0125","uses","T1560.001"
"S1051","uses","T1071.001"
"S0038","uses","T1056.001"
"S1087","uses","T1059.003"
"S0606","uses","T1110.003"
"G1055","uses","T1561.001"
"G0078","uses","T1685"
"S0660","uses","T1095"
"S9001","uses","T1059.001"
"G0007","uses","T1596"
"S0283","uses","T1056.001"
"S0356","uses","T1204.002"
"S0588","uses","T1027.002"
"S0013","uses","T1614"
"S0428","uses","T1027.010"
"S0468","uses","T1496.001"
"S0449","uses","T1027.016"
"S0452","uses","T1087.001"
"G0098","uses","T1046"
"S0387","uses","T1082"
"S1068","uses","T1570"
"S1239","uses","T1480"
"S0184","uses","T1016"
"S0094","uses","T1113"
"S1246","uses","T1059.007"
"S1013","uses","T1105"
"S0334","uses","T1686.003"
"S9026","uses","T1140"
"S0531","uses","T1204.001"
"T1552.004","subtechnique-of","T1552"
"G0081","uses","T1566.001"
"G1040","uses","T1016"
"G1021","uses","T1105"
"S1016","uses","T1033"
"G0049","uses","T1082"
"S0089","uses","T1047"
"M1051","mitigates","T1550.002"
"S0117","uses","T1027.016"
"S1033","uses","T1543.003"
"S0182","uses","T1113"
"S0269","uses","T1071.001"
"S0455","uses","T1056.001"
"S0244","uses","T1007"
"T1218.005","subtechnique-of","T1218"
"M1031","mitigates","T1568"
"G0112","uses","T1189"
"G0001","uses","T1001.002"
"S0657","uses","T1560.003"
"S0396","uses","T1124"
"S1149","uses","T1218.003"
"G1004","uses","T1069.002"
"S0226","uses","T1140"
"G0010","uses","T1059.007"
"G0070","uses","T1027.013"
"G1052","uses","T1083"
"S0447","uses","T1027.002"
"S0124","uses","T1059.003"
"S1105","uses","T1070.004"
"M1024","mitigates","T1574.012"
"S0533","uses","T1041"
"G1043","uses","T1016"
"G1048","uses","T1083"
"S0367","uses","T1110.001"
"G0037","uses","T1560.003"
"S1178","uses","T1491.001"
"S1247","uses","T1489"
"G0066","uses","T1027.013"
"S0570","uses","T1018"
"S0466","uses","T1036.001"
"S0128","uses","T1102.001"
"M1048","mitigates","T1190"
"G0133","uses","S0340"
"S0283","uses","T1120"
"G1052","uses","T1583.006"
"S0482","uses","T1048"
"G0005","uses","T1204.002"
"G0022","uses","T1053.005"
"G0016","uses","T1621"
"S1246","uses","T1555.003"
"S0142","uses","T1057"
"S0650","uses","T1018"
"S1015","uses","T1053.005"
"S0363","uses","T1482"
"S1247","uses","T1480.002"
"G0082","uses","T1112"
"M1032","mitigates","T1040"
"S1149","uses","T1059.005"
"S1247","uses","T1068"
"G0024","uses","S0067"
"G0127","uses","S0650"
"G1001","uses","S0097"
"G0108","uses","S1144"
"M1047","mitigates","T1686.001"
"S0376","uses","T1112"
"G0121","uses","T1518.001"
"S0516","uses","T1087.002"
"T1070.006","subtechnique-of","T1070"
"S0148","uses","T1548.002"
"G1013","uses","T1071.001"
"G1048","uses","T1078.001"
"S0444","uses","T1090.002"
"G0007","uses","T1583.001"
"S0530","uses","T1565.002"
"S0453","uses","T1204.002"
"S0532","uses","T1049"
"S0098","uses","T1124"
"T1110.004","subtechnique-of","T1110"
"S0045","uses","T1056.001"
"G1016","uses","T1572"
"G1047","uses","T1090.001"
"S0527","uses","T1070.004"
"S0599","uses","T1071.001"
"S0113","uses","T1573.001"
"S0449","uses","T1082"
"S0352","uses","T1222.002"
"G0067","uses","T1059.006"
"G0062","uses","S0032"
"S0044","uses","T1008"
"G1052","uses","T1571"
"S0586","uses","T1070.006"
"S0089","uses","T1555.003"
"S0132","uses","T1555.003"
"G0004","uses","S0097"
"S0433","uses","T1082"
"M1021","mitigates","T1102.002"
"S1205","uses","T1561.001"
"M1056","mitigates","T1588.004"
"G0038","uses","T1059"
"G0092","uses","S0611"
